,diff_0,diff_1,diff_2,target
540,52.0,44.0,43.0,46.0
541,44.0,43.0,46.0,38.0
542,43.0,46.0,38.0,33.0
543,46.0,38.0,33.0,34.0
544,38.0,33.0,34.0,36.0
545,33.0,34.0,36.0,36.0
546,34.0,36.0,36.0,41.0
547,36.0,36.0,41.0,45.0
548,36.0,41.0,45.0,52.0
549,41.0,45.0,52.0,101.0
550,35.0,65.0,53.0,82.0
551,65.0,53.0,82.0,100.0
552,53.0,82.0,100.0,91.0
553,82.0,100.0,91.0,101.0
554,99.0,91.0,79.0,70.0
555,91.0,79.0,70.0,63.0
556,79.0,70.0,63.0,68.0
557,70.0,63.0,68.0,64.0
558,63.0,68.0,64.0,59.0
559,68.0,64.0,59.0,59.0
560,64.0,59.0,59.0,58.0
561,59.0,59.0,58.0,52.0
562,59.0,58.0,52.0,42.0
563,58.0,52.0,42.0,47.0
564,52.0,42.0,47.0,55.0
565,42.0,47.0,55.0,51.0
566,47.0,55.0,51.0,57.0
567,55.0,51.0,57.0,58.0
568,51.0,57.0,58.0,53.0
569,57.0,58.0,53.0,50.0
570,58.0,53.0,50.0,56.0
571,53.0,50.0,56.0,101.0
572,98.0,72.0,81.0,74.0
573,72.0,81.0,74.0,77.0
574,81.0,74.0,77.0,80.0
575,74.0,77.0,80.0,82.0
576,77.0,80.0,82.0,93.0
577,80.0,82.0,93.0,101.0
578,55.0,41.0,36.0,33.0
579,41.0,36.0,33.0,26.0
580,36.0,33.0,26.0,21.0
581,33.0,26.0,21.0,24.0
582,26.0,21.0,24.0,21.0
583,21.0,24.0,21.0,20.0
584,24.0,21.0,20.0,20.0
585,21.0,20.0,20.0,17.0
586,20.0,20.0,17.0,17.0
587,20.0,17.0,17.0,18.0
